Subplot,TreeID,TreeID_Onsite,Stand,Con_DBH,Con_X,Con_Y,Con_Z,Pad_DBH,Pad_X,Pad_Y,Pad_Z,Pho_DBH,Pho_X,Pho_Y,Pho_Z
2,1,2002,Bp,27.0,-70070.25366,-110773.7461,2.092,23.6,-70068.60938,-110775.2031,127.0,25.2,-70069.35938,-110771.7969,126.9
2,2,2003,Bp,28.5,-70068.97007,-110772.2552,2.023,27.6,-70067.40625,-110773.7188,126.7,26.5,-70068.21094,-110770.2734,126.8
2,3,2004,Bp,20.5,-70067.56394,-110770.7799,1.959,18.5,-70066.01562,-110772.2031,126.7,18.6,-70066.88281,-110768.7422,126.8
2,4,2005,Bp,31.4,-70066.10057,-110769.3772,1.941,29.0,-70064.60938,-110770.8047,126.7,29.7,-70065.52344,-110767.2734,126.7
2,5,2006,Bp,16.1,-70065.12875,-110767.6325,1.847,15.2,-70063.64062,-110769.25,126.7,16.5,-70064.61719,-110765.6797,126.7
2,6,678,Cp,57.4,-70063.72875,-110766.1298,1.836,56.7,-70062.15625,-110767.8828,126.6,58.0,-70063.20312,-110764.2422,126.7
2,7,679,Cp,42.3,-70062.44913,-110764.5927,1.781,40.4,-70060.90625,-110766.3125,126.5,39.1,-70062.00781,-110762.6484,126.4
2,8,680,Cp,41.8,-70061.2003,-110763.0364,1.721,34.5,-70059.61719,-110764.7656,126.5,37.5,-70060.80469,-110761.0625,126.4
2,9,129,Cp,17.0,-70056.01903,-110762.7027,1.765,14.8,-70054.59375,-110764.2734,126.2,16.0,-70055.875,-110760.2656,126.2
2,10,130,Cp,13.8,-70054.76916,-110762.5129,1.716,16.6,-70053.46875,-110764.0,126.2,16.5,-70054.72656,-110759.9219,126.1
2,11,131,Cp,16.7,-70053.85219,-110762.2444,1.712,16.2,-70052.46875,-110763.7891,126.2,16.4,-70053.82812,-110759.6406,126.1
2,12,143,Cp,13.3,-70050.40687,-110763.6072,1.804,12.7,-70049.09375,-110765.1328,126.4,14.2,-70050.40625,-110760.7344,126.3
2,13,144,Cp,14.2,-70051.49475,-110763.4729,1.697,17.6,-70049.94531,-110765.2422,126.4,14.4,-70051.25,-110760.9141,126.3
2,14,145,Cp,14.1,-70053.305,-110764.3115,1.762,15.5,-70051.96875,-110765.8594,126.2,14.1,-70053.16406,-110761.6719,126.2
2,15,147,Cp,20.6,-70055.27649,-110764.7133,1.825,18.3,-70053.94531,-110766.2344,126.2,21.5,-70055.11719,-110762.2109,126.2
2,16,148,Cp,15.0,-70053.67336,-110766.2886,1.867,16.5,-70052.375,-110767.7188,126.5,14.7,-70053.46094,-110763.6172,126.2
2,17,149,Cp,14.2,-70052.60231,-110766.0916,1.841,13.1,-70051.35156,-110767.4922,126.4,11.0,-70052.46094,-110763.3359,126.2
2,18,151,Cp,16.8,-70049.77812,-110765.4122,1.833,17.0,-70048.51562,-110766.8672,126.4,17.1,-70049.6875,-110762.5547,126.3
2,19,158,Cp,12.5,-70045.58273,-110766.9505,1.954,14.0,-70044.32812,-110768.3516,126.6,11.8,-70045.5,-110763.7813,126.3
2,20,159,Cp,28.3,-70046.75311,-110767.2349,1.995,28.6,-70045.49219,-110768.6328,126.5,28.9,-70046.625,-110764.1484,126.4
2,21,160,Cp,25.3,-70049.27741,-110767.8859,2.007,24.1,-70048.0625,-110769.1953,126.5,26.2,-70049.07812,-110764.9141,126.4
2,22,161,Cp,25.4,-70051.60575,-110768.554,2.067,26.6,-70050.46875,-110769.7188,126.5,23.2,-70051.39844,-110765.6484,126.4
2,23,162,Cp,23.0,-70052.63314,-110768.8271,2.071,19.3,-70051.53906,-110770.0078,126.5,23.8,-70052.45312,-110766.0547,126.2
