SOURCE,TARGET 1,TARGET 2
2,1,25.2
2,2,26.5
2,3,18.6
2,4,29.7
2,5,16.5
2,6,58
2,7,39.1
2,8,37.5
2,9,16
2,10,16.5
2,11,16.4
2,12,14.2
2,13,14.4
2,14,14.1
2,15,21.5
2,16,14.7
2,17,11
2,18,17.1
2,19,11.8
2,20,28.9
2,21,26.2
2,22,23.2
2,23,23.8
2,24,23.7
3,1,34.5
3,2,44
3,3,45.8
3,4,36.8
3,5,36.2
3,6,15.2
3,7,40.5
3,8,12.9
3,9,24.4
3,10,16
3,11,17.2
3,12,13.6
3,13,19.7
3,14,18.6
3,15,17.9
3,16,14.7
3,17,20.2
3,18,17.1
3,19,11.9
3,20,11.5
3,21,12.8
3,22,14.5
3,23,12.1
3,24,12.3
3,25,16.7
3,26,19.2
3,27,17.1
3,28,13
3,29,13.2
3,30,17.9
3,31,14.7
3,32,16.5
3,33,17.1
3,34,17
3,35,18.5
3,36,17.9
3,37,18.8
3,38,19.5
3,39,8.8
3,40,16.6
3,41,10.4
3,42,10.6
3,43,17
3,44,10.4
3,45,10.4
3,46,13.8
3,47,8.8
3,48,8
3,49,9.6
3,50,19.2
3,51,25
3,52,10.1
3,53,10.1
3,54,48.2
3,55,25.1
3,56,12
4,1,9.9
4,2,34.2
4,3,23
4,4,50
4,5,48.4
4,6,8
4,7,19.5
4,8,12.3
4,9,12.4
4,10,13.2
4,11,8.5
4,12,12.8
4,13,15.8
4,14,18.9
4,15,7.9
4,16,20.2
4,17,10.2
4,18,10.3
4,19,10.2
4,20,12.7
4,21,23.9
4,22,21.9
4,23,12.6
4,24,7.9
4,25,10.3
5,1,9
5,2,8.9
5,3,27
5,4,28.9
5,5,21.7
5,6,9.4
5,7,31.7
5,8,7.7
5,9,13.2
5,10,24.8
5,11,12.7
5,12,8.1
5,13,17.8
5,14,29
5,15,48.9
5,16,10.4
5,17,8.6
5,18,16.1
5,19,6.8
5,20,17.6
5,21,9.3
5,22,12.8
5,23,30.8
5,24,66.8
5,25,11.9
5,26,16
5,27,32.1
5,28,9.5
5,29,58.7
5,30,6
5,31,10.4
5,32,28.1
5,33,15.2
5,34,14
5,35,11.5
5,36,12
5,37,9.2
5,38,23
5,39,23
5,40,31.3
5,41,12.1
5,42,38.5
6,1,12.6
6,2,46.2
6,3,40.3
6,4,37.6
6,5,35.4
6,6,36.9
6,7,35.5
6,8,24.3
6,9,27.1
6,10,21.6
6,11,32.7
6,12,37.8
6,13,31.5
6,14,32.1
6,15,33.7
6,16,21.8
6,17,20.9
6,18,18
6,19,19.3
7,1,53.3
7,2,17.9
7,3,25.5
7,4,13.5
7,5,26.8
7,6,17.6
7,7,24.1
7,8,20.5
7,9,24.1
7,10,35.1
7,11,18.4
7,12,17.8
7,13,17.4
7,14,19.5
7,15,22.6
8,1,45.5
8,2,31.6
8,3,27.4
8,4,32.5
8,5,29.4
8,6,28.3
8,7,20.4
8,8,28.2
8,9,22.4
8,10,21.9
8,11,10.6
8,12,21.2
8,13,16.1
8,14,12.2
8,15,11.9
8,16,21.7
8,17,11.3
8,18,18.4
9,1,17.3
9,2,19.9
9,3,11.8
9,4,19.1
9,5,19.2
9,6,29
9,7,21.8
9,8,22.1
9,9,27.9
9,10,18.8
9,11,17.3
9,12,12
9,13,17.9
9,14,18.2
