Category,Region,Year,Value,Area
Total,Bihor,1990,195400,Hectares
Total,Bihor,1991,195400,Hectares
Total,Bihor,1992,195400,Hectares
Total,Bihor,1993,191700,Hectares
Total,Bihor,1994,194700,Hectares
Total,Bihor,1995,195300,Hectares
Total,Bihor,1996,195300,Hectares
Total,Bihor,1997,195300,Hectares
Total,Bihor,1998,195500,Hectares
Total,Bihor,1999,195500,Hectares
Total,Bihor,2000,195500,Hectares
Total,Bihor,2001,195600,Hectares
Total,Bihor,2002,198200,Hectares
Total,Bihor,2003,195400,Hectares
Total,Bihor,2004,195300,Hectares
Total,Bihor,2005,193400,Hectares
Total,Bihor,2006,200300,Hectares
Total,Bihor,2007,206700,Hectares
Total,Bihor,2008,208100,Hectares
Total,Bihor,2009,209200,Hectares
Total,Bihor,2010,209200,Hectares
Total,Bihor,2011,209200,Hectares
Total,Bihor,2012,209200,Hectares
Total,Bihor,2013,209200,Hectares
Total,Bihor,2014,209300,Hectares
Total,Bihor,2015,209300,Hectares
Total,Bihor,2016,209300,Hectares
Total,Bihor,2017,209400,Hectares
Total,Bihor,2018,211200,Hectares
Total,Bihor,2019,211200,Hectares
Total,Cluj,1990,152800,Hectares
Total,Cluj,1991,152800,Hectares
Total,Cluj,1992,152900,Hectares
Total,Cluj,1993,152900,Hectares
Total,Cluj,1994,153600,Hectares
Total,Cluj,1995,152800,Hectares
Total,Cluj,1996,152600,Hectares
Total,Cluj,1997,152600,Hectares
Total,Cluj,1998,152600,Hectares
Total,Cluj,1999,152600,Hectares
Total,Cluj,2000,152400,Hectares
Total,Cluj,2001,152300,Hectares
Total,Cluj,2002,152100,Hectares
Total,Cluj,2003,152300,Hectares
Total,Cluj,2004,152300,Hectares
Total,Cluj,2005,155600,Hectares
Total,Cluj,2006,145700,Hectares
Total,Cluj,2007,147500,Hectares
Total,Cluj,2008,149800,Hectares
Total,Cluj,2009,149500,Hectares
Total,Cluj,2010,157700,Hectares
Total,Cluj,2011,159900,Hectares
Total,Cluj,2012,160700,Hectares
Total,Cluj,2013,161300,Hectares
Total,Cluj,2014,161300,Hectares
Total,Cluj,2015,162700,Hectares
Total,Cluj,2016,164100,Hectares
Total,Cluj,2017,164600,Hectares
Total,Cluj,2018,168100,Hectares
Total,Cluj,2019,169600,Hectares
Total,Maramures,1990,262200,Hectares
Total,Maramures,1991,262200,Hectares
Total,Maramures,1992,262700,Hectares
Total,Maramures,1993,262600,Hectares
Total,Maramures,1994,263200,Hectares
Total,Maramures,1995,263100,Hectares
Total,Maramures,1996,263100,Hectares
Total,Maramures,1997,263200,Hectares
Total,Maramures,1998,263000,Hectares
Total,Maramures,1999,263100,Hectares
Total,Maramures,2000,263000,Hectares
Total,Maramures,2001,263000,Hectares
Total,Maramures,2002,263000,Hectares
Total,Maramures,2003,265000,Hectares
Total,Maramures,2004,262700,Hectares
Total,Maramures,2005,263300,Hectares
Total,Maramures,2006,260000,Hectares
Total,Maramures,2007,255300,Hectares
Total,Maramures,2008,260000,Hectares
Total,Maramures,2009,259800,Hectares
Total,Maramures,2010,258899,Hectares
Total,Maramures,2011,258600,Hectares
Total,Maramures,2012,259000,Hectares
Total,Maramures,2013,259100,Hectares
Total,Maramures,2014,259300,Hectares
Total,Maramures,2015,259600,Hectares
Total,Maramures,2016,259600,Hectares
Total,Maramures,2017,259800,Hectares
Total,Maramures,2018,260000,Hectares
Total,Maramures,2019,260000,Hectares
Total,Alba,1990,206900,Hectares
Total,Alba,1991,206900,Hectares
Total,Alba,1992,206800,Hectares
Total,Alba,1993,206500,Hectares
Total,Alba,1994,206600,Hectares
Total,Alba,1995,206900,Hectares
Total,Alba,1996,207100,Hectares
Total,Alba,1997,207000,Hectares
Total,Alba,1998,207000,Hectares
Total,Alba,1999,207000,Hectares
Total,Alba,2000,207100,Hectares
Total,Alba,2001,207100,Hectares
Total,Alba,2002,206900,Hectares
Total,Alba,2003,206100,Hectares
Total,Alba,2004,206100,Hectares
Total,Alba,2005,206100,Hectares
Total,Alba,2006,206300,Hectares
Total,Alba,2007,206800,Hectares
Total,Alba,2008,206900,Hectares
Total,Alba,2009,206400,Hectares
Total,Alba,2010,206300,Hectares
Total,Alba,2011,206600,Hectares
Total,Alba,2012,206100,Hectares
Total,Alba,2013,206200,Hectares
Total,Alba,2014,206500,Hectares
Total,Alba,2015,203700,Hectares
Total,Alba,2016,203900,Hectares
Total,Alba,2017,204300,Hectares
Total,Alba,2018,206800,Hectares
Total,Alba,2019,206900,Hectares
Total,Brasov,1990,190200,Hectares
Total,Brasov,1991,190100,Hectares
Total,Brasov,1992,190100,Hectares
Total,Brasov,1993,190100,Hectares
Total,Brasov,1994,190200,Hectares
Total,Brasov,1995,189700,Hectares
Total,Brasov,1996,189900,Hectares
Total,Brasov,1997,189900,Hectares
Total,Brasov,1998,190000,Hectares
Total,Brasov,1999,190000,Hectares
Total,Brasov,2000,190000,Hectares
Total,Brasov,2001,190100,Hectares
Total,Brasov,2002,190600,Hectares
Total,Brasov,2003,190200,Hectares
Total,Brasov,2004,190100,Hectares
Total,Brasov,2005,190200,Hectares
Total,Brasov,2006,197700,Hectares
Total,Brasov,2007,202900,Hectares
Total,Brasov,2008,202900,Hectares
Total,Brasov,2009,204300,Hectares
Total,Brasov,2010,204300,Hectares
Total,Brasov,2011,204400,Hectares
Total,Brasov,2012,204700,Hectares
Total,Brasov,2013,205000,Hectares
Total,Brasov,2014,205000,Hectares
Total,Brasov,2015,205200,Hectares
Total,Brasov,2016,205200,Hectares
Total,Brasov,2017,205100,Hectares
Total,Brasov,2018,205200,Hectares
Total,Brasov,2019,205200,Hectares
Total,Covasna,1990,162100,Hectares
Total,Covasna,1991,162100,Hectares
Total,Covasna,1992,162400,Hectares
Total,Covasna,1993,161700,Hectares
Total,Covasna,1994,162000,Hectares
Total,Covasna,1995,162200,Hectares
Total,Covasna,1996,161900,Hectares
Total,Covasna,1997,162000,Hectares
Total,Covasna,1998,161900,Hectares
Total,Covasna,1999,161900,Hectares
Total,Covasna,2000,161900,Hectares
Total,Covasna,2001,161700,Hectares
Total,Covasna,2002,161000,Hectares
Total,Covasna,2003,161800,Hectares
Total,Covasna,2004,161200,Hectares
Total,Covasna,2005,161400,Hectares
Total,Covasna,2006,162400,Hectares
Total,Covasna,2007,175100,Hectares
Total,Covasna,2008,162600,Hectares
Total,Covasna,2009,168700,Hectares
Total,Covasna,2010,167200,Hectares
Total,Covasna,2011,170200,Hectares
Total,Covasna,2012,170200,Hectares
Total,Covasna,2013,171300,Hectares
Total,Covasna,2014,171300,Hectares
Total,Covasna,2015,171400,Hectares
Total,Covasna,2016,171500,Hectares
Total,Covasna,2017,171400,Hectares
Total,Covasna,2018,171400,Hectares
Total,Covasna,2019,171400,Hectares
Total,Harghita,1990,231200,Hectares
Total,Harghita,1991,231300,Hectares
Total,Harghita,1992,231300,Hectares
Total,Harghita,1993,231300,Hectares
Total,Harghita,1994,230800,Hectares
Total,Harghita,1995,231100,Hectares
Total,Harghita,1996,231300,Hectares
Total,Harghita,1997,231400,Hectares
Total,Harghita,1998,231500,Hectares
Total,Harghita,1999,231500,Hectares
Total,Harghita,2000,231400,Hectares
Total,Harghita,2001,231400,Hectares
Total,Harghita,2002,226900,Hectares
Total,Harghita,2003,231000,Hectares
